url,tipo,descripcion,servicios,datos_contacto,sede
,         Fútbol 5,        Nextel: (ID: 144*854)/(ID: 680*1861) ,"      Vestuarios,    Bar / Restaurante,    Torneos,    Ayuda Médica ,    Cumpleaños,    Colegios", Tel.: 15 6189 9294 / 15 3009 2886 Web: www.larabonatorneos.com.ar,1 Sedes:  - Sede Vicente Lopez: Asturiano Fútbol 
,"         Fútbol 5, 6 y 8",        Fútbol + Amigos + Premios + Fotos + Categorías por nivel + excelentes canchas!  Anotá a tu equipo!,"      Escuelita de Fútbol,    Bar / Restaurante,    Cumpleaños,    Parrilla,    ,    Vestuarios,    Torneos,    Ayuda Médica ,    Colegios,    Gimnasio,    Estacionamiento,    Seguridad,    WiFi,    TV", Tel.: 001 - 49776166 Web: www.tressesentafutbol.com.ar,9 Sedes:  - Sede Martínez: Area Chica Complejo Deportivo - Sede San Isidro: Thames Fútbol - Sede Martínez: Banade Fútbol - Sede Costanera: Parque Norte - Sede Nuñez: Grün FC - Sede Vicente Lopez: Banco Futbol - Sede Palermo: Geba Fútbol - Sede Saavedra: SB Fútbol - Sede Saavedra: Platense Fútbol 
,"         Fútbol 5, 6 y 11",        Contacto: Norberto  ,"      Vestuarios,    Bar / Restaurante,    Torneos,    Parrilla,    Estacionamiento", Tel.: 15 5977-1200  Web: www.paradorfutbol.com.ar,4 Sedes:  - Sede Victoria: Polideportivo Central Tigre - Sede General Pacheco: Club el chasqui - Sede Escobar Centro: El Tala - Sede Garin: Polideportivo Garin 
,         Fútbol 9,"        Se realiza los días semanales en el horario de 21, 22, 23 Hs.  ","      Bar / Restaurante,    Ayuda Médica ,    Parrilla", Tel.: 0299-156327814 Web: http://es-la.facebook.com/pages/Mendieta/114345411973332?sk=info,1 Sedes:  - Sede Neuquen: Mendieta Fútbol 
,         Fútbol 6 y 7,        También fútbol femenino ,      Torneos,,1 Sedes:  - Sede Mendoza: Minuto 90 
,         Fútbol 8,        Torneo de fútbol 8 en Club General Paz Juniors los días Lunes. ,"      Vestuarios,    Escuelita de Fútbol,    Cumpleaños,    Parrilla,    Estacionamiento"," Tel.: 0351-153507582               Fútbol 8              Torneo de fútbol 8 en Club General Paz Juniors los días Lunes.            Vestuarios,    Escuelita de Fútbol,    Cumpleaños,    Parrilla,    Estacionamiento           ver todas                          ",1 Sedes:  - Sede Córdoba: Club General Paz Juniors 
,"         Fútbol 5, 6 y 7",,"      Vestuarios,    Escuelita de Fútbol,    Cumpleaños,    Parrilla,    Estacionamiento", Tel.: 03512- 15086085 Web: http://www.facebook.com/canchas.rivera,1 Sedes:  - Sede Rivera Indarte: Canchas Rivera 
,         Fútbol 5,"        Contacto: mariangeles  Jugá el mejor torneo ""INTERCOMERCIOS"" INICIO: PRÓXIMAMENTE","      Vestuarios,    Bar / Restaurante,    Torneos,    Escuelita de Fútbol,    Ayuda Médica ,    Cumpleaños,    Colegios", Tel.: 47025272 Web: www.elportondenunez.com.ar/torneos.htm,1 Sedes:  - Sede Nuñez: El Porton de Nuñez 
,         Fútbol 5,,"      Vestuarios,    Gimnasio,    Bar / Restaurante,    Torneos,    Escuelita de Fútbol,    Cumpleaños,    Parrilla"," Tel.: 0343-4260767                Fútbol 5            Vestuarios,    Gimnasio,    Bar / Restaurante,    Torneos,    Escuelita de Fútbol,    Cumpleaños,    Parrilla           ver todas                          ",1 Sedes:  - Sede Paraná: El Aguante Futbol 5 
,         Fútbol 5,        Comienzo en Marzo 2013,"      Bar / Restaurante,    Torneos,    Escuelita de Fútbol,    Ayuda Médica ,    Cumpleaños,    Parrilla", Tel.: 0261-154530457  Web: http://es-la.facebook.com/people/Parada-Cinco-Bermejo/100001592823777,1 Sedes:  - Sede Mendoza: Parada 5 Futbol 
,         Fútbol 5,"        Contacto: Sebastian Gimenez  Torneo relámpago masculino y femenino.Fútbol 5, con hasta 3 suplentes por equipo. Inscripción por equipo: $170.","      Vestuarios,    Bar / Restaurante,    Torneos,    Ayuda Médica ,    Cumpleaños,    Colegios"," Tel.: 011 15 6151 5753               Fútbol 5              Contacto: Sebastian Gimenez  Torneo relámpago masculino y femenino.Fútbol 5, con hasta 3 suplentes por equipo. Inscripción por equipo: $170.           Vestuarios,    Bar / Restaurante,    Torneos,    Ayuda Médica ,    Cumpleaños,    Colegios           ver todas                          ",1 Sedes:  - Sede Vicente Lopez: ASTURIANO FUTBOL 
,"         Fútbol 5, 8 y 9","        TORNEOS   FÚTBOL 5  FÚTBOL 8  FÚTBOL 5 FEMENINO  TORNEOS EMPRESARIALES  ESTADISTICAS EN VIVO    info@futgol.com.ar    SEDE PALERMO FÚTBOL:  El salvador 5300 y Godoy Cruz    SEDE PALERMO GEBA:  Sede Fútbol Noble, Av. Figueroa Alcorta 5000, Futbol Noble    SEDE ACASSUSO:  CLUB ACASSUSO. Av. Santa Rita 2702. Boulogne.     Torneos Femeninos, Torneos Masculinos, Torneos Sede acassuso, Torneos Sede Palermo, Torneos Sede Geba Palermo, Vestuarios, Bar / Restaurante, Torneos f5 f8 f9, Ayuda Médica , Estacionamiento, Seguridad, Torneos empresariales  ","      Vestuarios,    Bar / Restaurante,    Torneos,    Ayuda Médica ,    Parrilla,    Estacionamiento,    Cumpleaños,    Seguridad", Tel.:  +54 9 11 49140706 Web: www.futgol.com.ar,3 Sedes:  - Sede Palermo: Sede Geba - Sede Palermo: Palermo - Sede Boulogne: Acassuso 
,         Fútbol 5,        Organización de torneos abiertos de varios deportes.,"      Vestuarios,    Bar / Restaurante,    Torneos,    Ayuda Médica ,    Cumpleaños,    Estacionamiento", Tel.: 1561270835  Web: www.lideresendeportes.com.ar,1 Sedes:  - Sede Ramos Mejia: parador 4 
,"         Fútbol 5, 7 y 11",        Torneos de Fútbol 5 femenino los fines de semana      ,"      Vestuarios,    Escuelita de Fútbol,    Cumpleaños,    Parrilla,    Estacionamiento", Tel.: 1157157111  Web:  www.mango4.com.ar,1 Sedes:  - Sede Bellavista: Bella Vista Sport 
,"         Fútbol 5, 6 y 7","        Torneos de Fútbol 5, 6, y 7 Masculino (Wilde). Torneos F6, F8 y F9 en la nueva Sede Palaá Consultar por días sábados y domingos.   Inscripción abierta todo el año!!!","      Vestuarios,    Torneos,    Estacionamiento,    Bar / Restaurante,    Escuelita de Fútbol,    Ayuda Médica ,    Cumpleaños,    Seguridad", Tel.: 011 - 1533618755 Web: www.tfcdelsur.com.ar,2 Sedes:  - Sede Wilde: Complejo Deportivo Catedral - Sede Avellaneda: Fútbol Palaá 
,         Fútbol 5,        Contacto:  Alexander,"      Bar / Restaurante,    Vestuarios,    Escuelita de Fútbol,    Gimnasio,    Ayuda Médica ,    Cumpleaños,    Colegios,    ", Tel.: 1531738695  Web: www.ligagolxgol.com.ar,1 Sedes:  - Sede Villa Crespo: Villa Crespo 
,"         Fútbol 5, 6 y 7",        Cuenta con torneos femeninos. ,"      Vestuarios,    Bar / Restaurante,    Torneos,    Ayuda Médica ,    Parrilla,    Estacionamiento,    Escuelita de Fútbol,    Cumpleaños,    Colegios,    ", Tel.:  15- 5147-5956 Web: www.tokemagicofutbol.com.ar,2 Sedes:  - Sede Nuñez: Campo de Deporte Ernesto Del Monte - Sede Nuñez: Fútbol Urbano 
,         Fútbol 5,,"      Vestuarios,    Bar / Restaurante,    Torneos,    Escuelita de Fútbol,    Ayuda Médica ,    Cumpleaños,    Parrilla", Tel.: 4902-9693/ 4683-0676 / 154046-1313 / 155598-1543 Web: www.pentagol.com.ar,1 Sedes:  - Sede San Cristobal: Nueva Generación 
,         Fútbol 5 y 6,        Torneo de fútbol 5 masculino y fútbol 6 femenino.,"      Vestuarios,    Bar / Restaurante,    Escuelita de Fútbol,    Ayuda Médica ,    Cumpleaños,    Colegios"," Tel.: 011-1558057605               Fútbol 5 y 6              Torneo de fútbol 5 masculino y fútbol 6 femenino.           Vestuarios,    Bar / Restaurante,    Escuelita de Fútbol,    Ayuda Médica ,    Cumpleaños,    Colegios           ver todas                          ",1 Sedes:  - Sede Agronomía: Solanas Futbol 5 
,         Fútbol 5 y 7,        El torneo comienza el 16 y 17 y finaliza el 23 y 24 de febrero 2013,"      Vestuarios,    Bar / Restaurante,    Torneos,    Ayuda Médica ,    Cumpleaños,    Colegios,    Escuelita de Fútbol,    Parrilla,    Estacionamiento", Tel.: 1563970451 Web: www.volveremo-volveremo.com.ar,3 Sedes:  - Sede Vicente Lopez: Asturiano Fútbol Club - Sede Nuñez: El porton Nuñez - Sede Vicente Lopez: Club Telefonos 
,         Fútbol 5 y 7,,"      Vestuarios,    Ayuda Médica ,    Parrilla,    Estacionamiento", Tel.: 0261-4377 667/152014229 Web: http://es-es.facebook.com/eldomofutbol,1 Sedes:  - Sede Mendoza: El Domo Fútbol 
,         Fútbol 5 y 8,"        Creemos en ser ese torneo de fútbol que nos gustaría que exista en el mundo. Nuestro objetivo es ser ese torneo en el que la vez que jugás al deporte más lindo del mundo te encontrás con tus amigos, conocidos y gente nueva.  Más que un torneo, un lugar dónde se encuentran amigos y amigas para pasar una tarde distinta.","      Vestuarios,    Bar / Restaurante,    Torneos,    Ayuda Médica ,    Cumpleaños,    Parrilla,    Estacionamiento,    Seguridad,    Escuelita de Fútbol,    Colegios,    WiFi,    TV", Tel.: 011-2393-0707 Web: www.copapalermo.com,4 Sedes:  - Sede Palermo: Palermo - Sede Nuñez: Grun FC - Sede Caballito: Caballito Norte - Sede Palermo: KDT 
,         Fútbol 11,,"      Vestuarios,    Bar / Restaurante,    Torneos,    Ayuda Médica ,    Parrilla,    Estacionamiento"," Tel.: 02954 - 15224653/15224654                Fútbol 11            Vestuarios,    Bar / Restaurante,    Torneos,    Ayuda Médica ,    Parrilla,    Estacionamiento           ver todas                          ",1 Sedes:  - Sede Santa Rosa: La Barranca Club Social y Deportivo 
,         Fútbol 7,,"      Vestuarios,    Bar / Restaurante,    Torneos,    Parrilla,    Estacionamiento", Tel.: 1530522333 Web: www.nordelta.com/torneo,1 Sedes:  - Sede Nordelta: Club De Fútbol Nordelta 
,         Fútbol 5,        Organiza Lion Eventos Deportivos.  Nextel: 54*581*5362  ,"      Vestuarios,    Gimnasio,    Bar / Restaurante,    Torneos,    Escuelita de Fútbol,    Ayuda Médica ,    Cumpleaños,    Colegios,    Parrilla", Tel.: 156397-2737 Web: copaconfederaciones@ciudad.com.ar,1 Sedes:  - Sede San Isidro: Thames Fútbol 
,         Fútbol 5,        Contacto: Eduardo / Roque.,"      Vestuarios,    Torneos,    Ayuda Médica ,    Escuelita de Fútbol,    Gimnasio,    Bar / Restaurante,    Cumpleaños,    Colegios,    Parrilla", Tel.: 15-3152-3541 / 15-5837-9811  Web: www.tocoymevoytorneos.com.ar,1 Sedes:  - Sede Boedo: Club El Barrio 
,         Fútbol 11,,"      Vestuarios,    Torneos,    Ayuda Médica ,    Estacionamiento", Tel.: 0342-154091592/154051444 Web: www.ligaelitedeportiva.com.ar,1 Sedes:  - Sede Santa Fe: Complejo La Elite Deportivo 
,         Fútbol 8,,"      Vestuarios,    Torneos,    Parrilla,    Estacionamiento", Tel.: 0341 - 156232717 Web: http://www.area18.neositios.com/,1 Sedes:  - Sede Rosario: Predio Argentino de Rosario 
,         Fútbol 7,,"      Vestuarios,    Bar / Restaurante,    Torneos,    Ayuda Médica ,    Colegios", Tel.: 4931-9937 / 156-023-0418 Web: www.torneosadefa.com.ar,1 Sedes:  - Sede Costanera: Nuñez 
,         Fútbol 7,,"      Vestuarios,    Torneos,    Escuelita de Fútbol,    Cumpleaños,    Parrilla,    Estacionamiento,    Seguridad"," Tel.: 0299 - 155276783 / 477-3581               Fútbol 7            Vestuarios,    Torneos,    Escuelita de Fútbol,    Cumpleaños,    Parrilla,    Estacionamiento,    Seguridad           ver todas                          ",1 Sedes:  - Sede Cipolletti: El Centro Futbol 
,         Fútbol 5,,"      Bar / Restaurante,    Torneos,    Escuelita de Fútbol,    Cumpleaños,    Parrilla,    Estacionamiento", Tel.: 0362 470-6649 Web: http://www.facebook.com/laultima.canchita,1 Sedes:  - Sede Resistencia: La Ultima Canchita 
,"         Fútbol 5, 6, 8, 9 y 11","        Desde el 2007 organizamos, planificamos y coordinamos eventos y torneos deportivos con el objetivo de fomentar la práctica del deporte, generando un especio recreativo. Orientado a empresas, instituciones y público en general.     NP TORNEOS está conformado por un equipo de Profesores de Educación Física, capacitados para llevar a cabo la logística y la ejecución del evento, brindando un servicio exclusivo manteniendo, como política de la empresa:     PROFESIONALISMO, CALIDAD Y COMPROMISO.    https://www.facebook.com/nptorneos.futbol","      Vestuarios,    Bar / Restaurante,    Torneos,    Escuelita de Fútbol,    Cumpleaños,    Parrilla,    Estacionamiento,    Seguridad,    WiFi,    Salón de Eventos,    Gimnasio,    Ayuda Médica ,    Tribuna / Gradas", Tel.: 15-3665-5084 Web: www.nptorneos.com.ar,9 Sedes:  - Sede Victoria: La Rotonda Fútbol 6 - Sede Villa Maipú: Cirse - Sede Del Viso: Futbol KM 40 Pilar - Sede Villa Ballester: Boulevard Ballester - Sede Villa Adelina: Villa Adelina Fútbol - Sede Villa Lynch: Urban - Sede Villa Maipú: Salguero Fútbol (Sede Mitre) - Sede Villa Lynch: Futbol San Martín - Sede Belgrano: Estadio Modelo 
,         Fútbol 11,        Liga de centro vecinales y barriales.,"      Vestuarios,    Bar / Restaurante,    Escuelita de Fútbol,    Cumpleaños,    Parrilla,    Estacionamiento,    Seguridad", Tel.: 03804 - 425583 Web: www.cef5.com.ar,1 Sedes:  - Sede La Rioja: Centro De Educación Física Nro 5 
,         Fútbol 7,,"      Torneos,    Estacionamiento", Tel.: 0358 15-490-0022 / 0800-888388265   Web: http://www.facebook.com/SuperFutbol7,1 Sedes:  - Sede Rio Cuarto: Super Futbol 7 
,         Fútbol 5,,"      Vestuarios,    Bar / Restaurante,    Torneos,    Escuelita de Fútbol,    Cumpleaños", Tel.: 011 - 45682658 Web: http://www.facebook.com/complejopipa,1 Sedes:  - Sede Villa Devoto: Complejo Pipa Gancedo 
,         Fútbol 5,"        Torneo de fútbol 5. Se juega los días domingos a partir de las 14Hs. Se entregan premios hasta el 3er. puesto, camisetas originales, y 3 rondas de repechaje.  Botines al campeón y goleador. Valla menos vencida, guantes.","      Bar / Restaurante,    Vestuarios,    Torneos,    Escuelita de Fútbol,    Ayuda Médica ,    Cumpleaños,    Colegios,    Parrilla,    ", Tel.:  011 1565306690 Web: www.laligagalactica.com.ar,1 Sedes:  - Sede Nuñez: Futbol Urbano 
,         Fútbol 9,,"      Vestuarios,    Bar / Restaurante,    Torneos,    Escuelita de Fútbol,    Ayuda Médica ,    Cumpleaños,    Colegios,    Parrilla", Tel.: 48018757/1540927050 Web: www.tfeweb.com.ar,2 Sedes:  - Sede Palermo: Barrio Parque Fútbol Club - Sede Palermo: Salguero Futbol 
,         Fútbol 5,        Contacto.:Gonzalo  ,"      Vestuarios,    Bar / Restaurante,    Torneos,    Ayuda Médica ,    Colegios", Tel.: 1541703736 Web: www.torneoevolucion.com.ar,1 Sedes:  - Sede Costanera: Parque Norte 
,"         Fútbol 5, 7, 8 y 11","        Torneos de categoria libre y para mayores de 30 años, 20 años de experiencia.  ","      Ayuda Médica ,    Cumpleaños,    ,    Vestuarios,    Bar / Restaurante,    Torneos,    Escuelita de Fútbol,    Colegios,    Parrilla,    Gimnasio,    Estacionamiento",,3 Sedes:  - Sede Parque Avellaneda: Club San Gabriel - Sede Monte Castro: Don Benito - Sede Bajo Flores: Club Daom 
,         Fútbol 5,        Torneo de liga ,"      Vestuarios,    Torneos,    Escuelita de Fútbol,    Cumpleaños,    Estacionamiento", Tel.: 1532133651 / 1558138386  Web: http://www.lasquadra.com.ar/,1 Sedes:  - Sede Martínez: Edison Center 
,         Fútbol 11,        Torneo Internacional de fútbol 11.,"      Vestuarios,    Ayuda Médica ,    Estacionamiento"," Tel.: (0291) 15516144               Fútbol 11              Torneo Internacional de fútbol 11.           Vestuarios,    Ayuda Médica ,    Estacionamiento           ver todas                          ",1 Sedes:  - Sede Ushuaia: Club Deportivo Lasserre 
,         Fútbol 5,        Torneos masculinos y femeninos.,"      Vestuarios,    Bar / Restaurante,    Torneos,    Escuelita de Fútbol,    Cumpleaños,    Parrilla,    Estacionamiento", Tel.: 4969769/154119224 Web: www.facebook.com/valencia.futbolcinco,1 Sedes:  - Sede Santiago Del Estero: Valencia fútbol 5 
,"         Fútbol 6, 8 y 11",        Se realizan torneos femeninos y masculinos.,"      Bar / Restaurante,    Torneos,    Parrilla,    Estacionamiento", Tel.: 0299 - 155924584 Web: http://www.facebook.com/canchascubitto,1 Sedes:  - Sede Neuquen: Canchas Cubitto 
,         Fútbol 6,,      Bar / Restaurante, Tel.: 0261- 155535754 / 15635285 Web: http://www.facebook.com/torneocanchasfundacion.godoycruz,1 Sedes:  - Sede Godoy Cruz: Canchas Fundación Godoy Cruz 
,         Fútbol 7,        Contactos: Juan Estevez  Torneo Masculino y Femenino. ,"      Vestuarios,    Bar / Restaurante,    Torneos,    Estacionamiento", Tel.: 03484-218510 /15-4157-6513 Web: www.areia.com.ar,1 Sedes:  - Sede Garin: Areia Villa Deportiva 
,         Fútbol 8,,"      Vestuarios,    Bar / Restaurante,    Torneos,    Ayuda Médica ,    Parrilla,    Estacionamiento"," Tel.: 45829756               Fútbol 8            Vestuarios,    Bar / Restaurante,    Torneos,    Ayuda Médica ,    Parrilla,    Estacionamiento           ver todas                          ",1 Sedes:  - Sede Nuñez: Nuñez 
,         Fútbol 5,"        Torneo de futbol 5 km40 Pilar.  Dias sabados desde las 14.hs  Importantes premios, campeon, valla menos vencida, goleador, jugador de la fecha.  anotate y reserva tu ptimer amistoso.  ","      Vestuarios,    Bar / Restaurante,    Torneos,    Cumpleaños"," Tel.: 1554770416               Fútbol 5              Torneo de futbol 5 km40 Pilar.  Dias sabados desde las 14.hs  Importantes premios, campeon, valla menos vencida, goleador, jugador de la fecha.  anotate y reserva tu ptimer amistoso.             Vestuarios,    Bar / Restaurante,    Torneos,    Cumpleaños           ver todas                          ",1 Sedes:  - Sede Del Viso: Complejo Futbol km 40 Pilar 
